#cameras 128
#name,x,y,z,omega,phi,kappa
ghazanchecoc skizb 01.jpg,-4.985129228889445,-20.93860972115157,7.265492542941679,48.48029771798802,82.58972072741486,-48.12265876087511
ghazanchecoc skizb 02.jpg,-4.984602271370985,-20.93805649158956,7.265610296542125,48.48964773279731,82.58338763320754,-48.13425834671781
ghazanchecoc skizb 03.jpg,-4.982730862029557,-20.9466122469106,7.320530312627088,48.77856924983924,82.55451920889961,-48.41728618165063
ghazanchecoc skizb 04.jpg,-4.981481170681411,-20.97885006597393,8.045469108340825,49.59562396437443,82.67472761387907,-49.22077665111158
ghazanchecoc skizb 05.jpg,-4.986715817732573,-20.98458665821161,8.891707534187985,50.31876401530023,82.82613078531642,-49.9430220118862
ghazanchecoc skizb 06.jpg,-5.006558783277795,-20.96030525783751,9.693884324071298,51.18261184998256,82.91887674299986,-50.85005028992205
ghazanchecoc skizb 07.jpg,-5.025462078592003,-20.97196472924546,10.47432104877581,52.06918538163347,83.00943414377515,-51.73601321323724
ghazanchecoc skizb 08.jpg,-4.9893833814417,-20.99225871844996,11.45102993807722,52.28172301013041,83.09690417595506,-51.91530279538894
Armenian_Artsakh 0856.jpg,13.32949230828649,6.756290455831747,11.11747692966717,-90.23712251791255,-17.73263284996362,91.24839382997897
Armenian_Artsakh 0848.jpg,13.27944477493198,6.772942768258983,5.480528235361152,-90.82782828071304,-14.60735090502346,89.67536664871345
Armenian_Artsakh 0849.jpg,13.27858865345607,6.773588262481624,5.939243969446783,-90.74546280599093,-15.09867506440786,89.90342393491069
Armenian_Artsakh 0850.jpg,13.28507178884604,6.778883103360235,6.516103283538682,-90.64533054421493,-15.53639434688951,90.12139404869522
Armenian_Artsakh 0851.jpg,13.28755128997777,6.751117877051088,7.207679955682656,-90.61130567896161,-15.94664762334907,90.32149888215869
Armenian_Artsakh 0852.jpg,13.28115546606482,6.733397766460755,7.925114270220989,-90.53753276371299,-16.26387828731762,90.53995103402275
Armenian_Artsakh 0853.jpg,13.31385511882885,6.72955697981733,8.691049107155605,-90.48514329589588,-16.71406923551528,90.6974996029505
Armenian_Artsakh 0854.jpg,13.26964829111504,6.742492421379083,9.422333775047521,-90.39251376043141,-17.02681205892648,90.91984473271613
Armenian_Artsakh 0855.jpg,13.26309834820372,6.748675424614117,10.22715277081429,-90.35521381210037,-17.32933429970478,91.1014386963883
